LANGUAGE,English,French,Italian,Spanish,German,Czech,Polish,Russian
STR_DISP_MAIN_OPT_DISPLAY_ULTRAWIDE_CLAMP_DESC,Adaptive-only limit for HUD/UI width on ultrawide screens. Off uses the full screen width.,Limite disponible en mode Adaptatif pour la largeur HUD/interface sur les écrans ultralarges. Désactivé utilise toute la largeur.,Limite solo Adattiva per larghezza HUD/interfaccia su schermi ultrawide. Disattivato usa tutta la larghezza.,Límite solo de Adaptativo para la anchura del HUD/interfaz en pantallas ultrapanorámicas. Desactivado usa toda la anchura.,"Nur bei Adaptiv: Begrenzung der HUD/UI-Breite auf Ultrawide-Bildschirmen. Aus nutzt die volle Breite.","Limit šířky HUD/UI na ultraširokých obrazovkách jen pro Přizpůsobené. Vypnuto používá plnou šířku.","Limit szerokości HUD/UI na ekranach ultrawide tylko w trybie adaptacyjnym. Wyłączone używa pełnej szerokości.","Лимит ширины HUD/UI на сверхшироких экранах только для адаптивного режима. Выкл. использует всю ширину."
STR_DISP_MAIN_OPT_DISPLAY_CLAMP_21X9,21:9,21:9,21:9,21:9,21:9,21:9,21:9,21:9
STR_DISP_MAIN_OPT_DISPLAY_CLAMP_16X9,16:9,16:9,16:9,16:9,16:9,16:9,16:9,16:9
STR_DISP_MAIN_OPT_DISPLAY_RESOLUTION,Resolution,Résolution,Risoluzione,Resolución,Auflösung,Rozlišení,Rozdzielczość,Разрешение
STR_DISP_MAIN_OPT_DISPLAY_RESOLUTION_DESC,Display resolution. Enabled only in Exclusive Fullscreen; Native uses the monitor desktop mode. Disabled in Fullscreen and Window.,Résolution d'affichage. Activée uniquement en plein écran exclusif ; Natif utilise le mode du bureau du moniteur. Désactivée en plein écran et en fenêtre.,Risoluzione di visualizzazione. Abilitata solo a schermo intero esclusivo; Nativa usa la modalità desktop del monitor. Disabilitata in schermo intero e finestra.,Resolución de pantalla. Activada solo en pantalla completa exclusiva; Nativo usa el modo de escritorio del monitor. Desactivada en pantalla completa y ventana.,Anzeigeauflösung. Nur im exklusiven Vollbildmodus aktiviert; Nativ verwendet den Desktopmodus des Monitors. In Vollbild und Fenster deaktiviert.,Rozlišení zobrazení. Zapnuto pouze v exkluzivní celé obrazovce; Nativní používá režim plochy monitoru. V celé obrazovce a okně vypnuto.,Rozdzielczość obrazu. Włączona tylko w pełnym ekranie ekskluzywnym; Natywne używa trybu pulpitu monitora. Wyłączona w pełnym ekranie i oknie.,Разрешение экрана. Доступно только в эксклюзивном полном экране; режим «Нативное» использует разрешение рабочего стола монитора. Отключено в полноэкранном и оконном режимах.
STR_DISP_MAIN_OPT_DISPLAY_REFRESH_RATE,Refresh Rate,Taux de rafraîchissement,Frequenza di aggiornamento,Frecuencia de actualización,Bildwiederholrate,Obnovovací frekvence,Częstotliwość odświeżania,Частота обновления
STR_DISP_MAIN_OPT_DISPLAY_REFRESH_RATE_DESC,Monitor refresh rate. Enabled only in Exclusive Fullscreen; System default uses the desktop rate.,Fréquence de rafraîchissement du moniteur. Activée uniquement en plein écran exclusif ; Par défaut du système utilise la fréquence du bureau.,Frequenza di aggiornamento del monitor. Abilitata solo a schermo intero esclusivo; Predefinito di sistema usa la frequenza del desktop.,Frecuencia de actualización del monitor. Activada solo en pantalla completa exclusiva; Predeterminado del sistema usa la frecuencia del escritorio.,Bildwiederholrate des Monitors. Nur im exklusiven Vollbildmodus aktiviert; Systemstandard verwendet die Desktop-Rate.,Obnovovací frekvence monitoru. Zapnuta pouze v exkluzivní celé obrazovce; Výchozí nastavení systému používá frekvenci plochy.,Częstotliwość odświeżania monitora. Włączona tylko w pełnym ekranie ekskluzywnym; ustawienie systemowe używa częstotliwości pulpitu.,Частота обновления монитора. Доступна только в эксклюзивном полном экране; системное значение использует частоту рабочего стола.
STR_DISP_MAIN_OPT_DISPLAY_REFRESH_RATE_FORMAT,%d Hz,%d Hz,%d Hz,%d Hz,%d Hz,%d Hz,%d Hz,%d Hz
STR_DISP_MAIN_OPT_DISPLAY_APPLY,Apply,Appliquer,Applica,Aplicar,Übernehmen,Použít,Zastosuj,Применить
STR_DISP_MAIN_OPT_DISPLAY_APPLY_DESC,Commit the pending changes. Reverts after 15 s if unconfirmed.,Valider les changements en attente. Restauration après 15 s sans confirmation.,Conferma le modifiche in sospeso. Ripristina dopo 15 s se non confermate.,Confirma los cambios pendientes. Se revierten tras 15 s si no se confirman.,Übernimmt die ausstehenden Änderungen. Ohne Bestätigung wird nach 15 s zurückgesetzt.,"Potvrdí čekající změny. Pokud je nepotvrdíte, po 15 s se vrátí zpět.",Potwierdza oczekujące zmiany. Bez potwierdzenia zostaną cofnięte po 15 s.,"Подтверждает ожидающие изменения. Без подтверждения откат через 15 с."
STR_DISP_MAIN_OPT_CONFIRM_REVERT_TITLE,Keep these display settings?,Conserver ces paramètres d'affichage ?,Mantenere queste impostazioni video?,¿Mantener esta configuración de pantalla?,Diese Anzeigeeinstellungen beibehalten?,Ponechat tato nastavení zobrazení?,Zachować te ustawienia obrazu?,Оставить эти параметры экрана?
STR_DISP_MAIN_OPT_CONFIRM_REVERT_KEEP,Keep,Conserver,Mantieni,Mantener,Beibehalten,Ponechat,Zachowaj,Оставить
STR_DISP_MAIN_OPT_CONFIRM_REVERT_REVERT,Revert,Rétablir,Ripristina,Revertir,Zurücksetzen,Vrátit zpět,Przywróć,Откатить
STR_DISP_MAIN_OPT_CONFIRM_REVERT_COUNTDOWN,Reverting in %d s.,Rétablissement dans %d s.,Ripristino tra %d s.,Revirtiendo en %d s.,Zurücksetzen in %d s.,Vrácení za %d s.,Przywracanie za %d s.,Откат через %d с.
STR_DISP_MAIN_OPT_CLOSE_DESC,Return to the Options menu.,Retour au menu Options.,Torna al menu Opzioni.,Volver al menú de Opciones.,Zurück zum Optionsmenü.,Návrat do nabídky Nastavení.,Powrót do menu opcji.,Вернуться в меню настроек.
STR_DISP_MAIN_OPT_MIC_TEST_TITLE,Microphone Test,Test du microphone,Test microfono,Prueba de micrófono,Mikrofontest,Test mikrofonu,Test mikrofonu,Проверка микрофона
STR_DISP_MAIN_OPT_MIC_TEST_BODY,Speak - you should hear yourself.,Parlez - vous devriez vous entendre.,Parla - dovresti sentirti.,Habla: deberías oírte.,Sprechen Sie - Sie sollten sich selbst hören.,Promluvte – měli byste se slyšet.,Mów — powinieneś usłyszeć siebie.,Скажите что-нибудь — вы должны услышать себя.
STR_DISP_MAIN_OPT_AUDIO_OUTPUT,Output device,Périphérique de sortie,Dispositivo di uscita,Dispositivo de salida,Ausgabegerät,Výstupní zařízení,Urządzenie wyjściowe,Устройство вывода
STR_DISP_MAIN_OPT_AUDIO_OUTPUT_DESC,Where game audio is sent.,Destination du son du jeu.,Destinazione dell'audio di gioco.,Destino del audio del juego.,Wohin der Spielton ausgegeben wird.,Kam hra posílá zvuk.,Dokąd trafia dźwięk gry.,Куда выводится звук игры.
STR_DISP_MAIN_OPT_AUDIO_MUSIC,Music,Musique,Musica,Música,Musik,Hudba,Muzyka,Музыка
STR_DISP_MAIN_OPT_AUDIO_MUSIC_DESC,Volume of in-game music and menus.,Volume de la musique du jeu et des menus.,Volume della musica di gioco e dei menu.,Volumen de la música del juego y los menús.,Lautstärke von Musik und Menüs.,Hlasitost hudby ve hře a v nabídkách.,Głośność muzyki w grze i menu.,Громкость игровой музыки и меню.
STR_DISP_MAIN_OPT_AUDIO_EFFECTS,Effects,Effets,Effetti,Efectos,Effekte,Efekty,Efekty,Эффекты
STR_DISP_MAIN_OPT_AUDIO_EFFECTS_DESC,Volume of weapons vehicles and world.,"Volume des armes, véhicules et sons du monde.","Volume di armi, veicoli e mondo di gioco.","Volumen de armas, vehículos y entorno.","Lautstärke von Waffen, Fahrzeugen und Umwelt.","Hlasitost zbraní, vozidel a okolního světa.","Głośność broni, pojazdów i otoczenia.","Громкость оружия, техники и окружающего мира."
STR_DISP_MAIN_OPT_AUDIO_SPEECH,Speech / VoN,Radio / VoN,Radio / VoN,Radio / VoN,Funk / VoN,Rádio / VoN,Radio / VoN,Радио / VoN
STR_DISP_MAIN_OPT_AUDIO_SPEECH_DESC,Volume of radio chatter and VoN.,Volume de la radio et de la VoN.,Volume della radio e del VoN.,Volumen de la radio y de VoN.,Lautstärke von Funk und VoN.,Hlasitost rádiové komunikace a VoN.,Głośność radia i VoN.,Громкость радио и VoN.
STR_DISP_MAIN_OPT_AUDIO_EAX,3D Audio (EAX),Audio 3D (EAX),Audio 3D (EAX),Audio 3D (EAX),3D-Audio (EAX),3D zvuk (EAX),Dźwięk 3D (EAX),3D-звук (EAX)
STR_DISP_MAIN_OPT_AUDIO_EAX_DESC,Hardware reverb and positional effects via OpenAL EFX.,Réverbération matérielle et effets de position via OpenAL EFX.,Riverbero hardware ed effetti posizionali tramite OpenAL EFX.,Reverberación por hardware y efectos posicionales mediante OpenAL EFX.,Hardware-Hall und Positionseffekte über OpenAL EFX.,Hardwarový dozvuk a prostorové efekty přes OpenAL EFX.,Sprzętowy pogłos i efekty pozycjonowania przez OpenAL EFX.,Аппаратная реверберация и позиционные эффекты через OpenAL EFX.
STR_DISP_MAIN_OPT_AUDIO_MICROPHONE,Microphone,Microphone,Microfono,Micrófono,Mikrofon,Mikrofon,Mikrofon,Микрофон
STR_DISP_MAIN_OPT_AUDIO_MICROPHONE_DESC,Microphone used for VoN.,Microphone utilisé pour la VoN.,Microfono usato per il VoN.,Micrófono usado para VoN.,Für VoN verwendetes Mikrofon.,Mikrofon používaný pro VoN.,Mikrofon używany przez VoN.,"Микрофон, используемый для VoN."
STR_DISP_MAIN_OPT_AUDIO_INPUT_LEVEL,Input level,Niveau d'entrée,Livello input,Nivel de entrada,Eingangspegel,Vstupní úroveň,Poziom wejścia,Уровень входа
STR_DISP_MAIN_OPT_AUDIO_INPUT_LEVEL_DESC,Live input level. Speak to test.,Niveau d'entrée en direct. Parlez pour tester.,Livello di ingresso in tempo reale. Parla per provare.,Nivel de entrada en tiempo real. Habla para probar.,Aktueller Eingangspegel. Sprechen Sie zum Testen.,Aktuální úroveň vstupu. Promluvte pro vyzkoušení.,"Bieżący poziom wejścia. Mów, aby sprawdzić.","Текущий уровень входа. Говорите для проверки."
STR_DISP_MAIN_OPT_AUDIO_TEST_MIC,Test Microphone,Tester le micro,Prova microfono,Probar micrófono,Mikrofon testen,Test mikrofonu,Test mikrofonu,Проверить микрофон
STR_DISP_MAIN_OPT_AUDIO_TEST_MIC_DESC,Open a sidetone test so you can hear yourself echoed back.,Ouvre un test de retour pour vous entendre en écho.,Apre un test di ritorno per sentire la tua voce in eco.,Abre una prueba de retorno para que te oigas con eco.,"Öffnet einen Mithörtest, damit Sie sich mit Echo hören.","Otevře test odposlechu, abyste slyšeli svůj hlas zpětně.","Otwiera test odsłuchu, abyś słyszał swój głos z echem.","Открывает тест самопрослушивания, чтобы вы услышали свой голос с эхом."
STR_DISP_MAIN_OPT_GAME_TEXT_LANGUAGE,Text language,Langue du texte,Lingua del testo,Idioma del texto,Textsprache,Jazyk textu,Język tekstu,Язык текста
STR_DISP_MAIN_OPT_GAME_TEXT_LANGUAGE_DESC,Switch UI and HUD text immediately.,Change immédiatement les textes de l'interface et du HUD.,Cambia subito i testi dell'interfaccia e dell'HUD.,Cambia de inmediato los textos de la interfaz y del HUD.,Schaltet UI- und HUD-Texte sofort um.,Okamžitě přepne texty rozhraní a HUDu.,Natychmiast przełącza tekst interfejsu i HUD.,Сразу переключает текст интерфейса и HUD.
STR_DISP_MAIN_OPT_GAME_VOICE_LANGUAGE,Voice-over language,Langue des voix,Lingua del doppiaggio,Idioma de las voces,Sprachausgabe,Jazyk dabingu,Język dubbingu,Язык озвучки
STR_DISP_MAIN_OPT_GAME_VOICE_LANGUAGE_DESC,Preferred spoken language for voice content.,Langue parlée préférée pour les voix.,Lingua parlata preferita per i contenuti vocali.,Idioma hablado preferido para el contenido de voz.,Bevorzugte gesprochene Sprache für Sprachinhalte.,Preferovaný jazyk mluveného obsahu.,Preferowany język materiałów głosowych.,Предпочитаемый язык голосового контента.
STR_DISP_MAIN_OPT_GAME_VIEW_DISTANCE,Visibility distance,Distance de visibilité,Distanza visiva,Distancia de visibilidad,Sichtweite,Viditelnost,Odległość widoczności,Дальность видимости
STR_DISP_MAIN_OPT_GAME_VIEW_DISTANCE_DESC,Preferred view distance in metres when the mission does not override it.,Distance de vue préférée en mètres quand la mission ne la remplace pas.,Distanza visiva preferita in metri quando la missione non la sostituisce.,Distancia de visión preferida en metros cuando la misión no la sustituye.,Bevorzugte Sichtweite in Metern wenn die Mission sie nicht überschreibt.,Preferovaná dohlednost v metrech pokud ji mise nepřepíše.,Preferowana odległość widoczności w metrach jeśli misja jej nie nadpisze.,Предпочтительная дальность видимости в метрах если миссия её не переопределяет.
STR_DISP_MAIN_OPT_GAME_VIEW_DISTANCE_FORMAT,%d m,%d m,%d m,%d m,%d m,%d m,%d m,%d м
STR_DISP_MAIN_OPT_GAME_RESPECT_MISSION_VIEW_DISTANCE,Respect mission visibility,Respecter la visibilité de la mission,Rispetta la visibilità della missione,Respetar visibilidad de la misión,Sichtweite der Mission respektieren,Respektovat viditelnost mise,Szanuj widoczność misji,Учитывать видимость миссии
STR_DISP_MAIN_OPT_GAME_RESPECT_MISSION_VIEW_DISTANCE_DESC,If enabled use the mission-authored visibility distance before start.,Si activé utilise la distance de visibilité définie par la mission avant le départ.,Se attivo usa la distanza visiva definita dalla missione prima dell'avvio.,Si está activado usa la distancia de visibilidad definida por la misión antes de empezar.,Wenn aktiviert wird vor dem Start die von der Mission vorgegebene Sichtweite verwendet.,Je-li zapnuto použije se před startem dohlednost nastavená misí.,Jeśli włączone przed startem używana jest odległość widoczności ustawiona przez misję.,Если включено перед стартом используется заданная миссией дальность видимости.
STR_DISP_MAIN_OPT_GAME_BLOOD,Blood,Sang,Sangue,Sangre,Blut,Krev,Krew,Кровь
STR_DISP_MAIN_OPT_GAME_BLOOD_DESC,Toggle blood effects in gameplay.,Active ou désactive les effets de sang en jeu.,Attiva o disattiva gli effetti di sangue nel gioco.,Activa o desactiva los efectos de sangre en el juego.,Schaltet Bluteffekte im Spiel ein oder aus.,Zapne nebo vypne krvavé efekty ve hře.,Włącza lub wyłącza efekty krwi w grze.,Включает или выключает кровь в игре.
STR_DISP_MAIN_OPT_GAME_SUBTITLES,Subtitles,Sous-titres,Sottotitoli,Subtítulos,Untertitel,Titulky,Napisy,Субтитры
STR_DISP_MAIN_OPT_GAME_SUBTITLES_DESC,Show mission and cutscene subtitles.,Affiche les sous-titres des missions et cinématiques.,Mostra i sottotitoli di missioni e filmati.,Muestra subtítulos de misiones y escenas.,Zeigt Untertitel in Missionen und Zwischensequenzen an.,Zobrazuje titulky misí a filmečků.,Pokazuje napisy w misjach i scenkach.,Показывает субтитры в миссиях и роликах.
STR_DISP_MAIN_OPT_GAME_RADIO_SUBTITLES,Radio subtitles,Sous-titres radio,Sottotitoli radio,Subtítulos de radio,Funkuntertitel,Titulky rádia,Napisy radiowe,Субтитры радио
STR_DISP_MAIN_OPT_GAME_RADIO_SUBTITLES_DESC,Show radio message subtitles in the chat list.,Affiche les sous-titres radio dans la liste de discussion.,Mostra i sottotitoli radio nella lista chat.,Muestra subtítulos de radio en la lista de chat.,Zeigt Funkuntertitel in der Chatliste an.,Zobrazuje titulky rádia v seznamu chatu.,Pokazuje napisy radiowe na liście czatu.,Показывает субтитры радио в списке чата.
STR_DISP_MAIN_OPT_GRAPHICS_QUALITY_PRESET,Quality Preset,Préréglage de qualité,Preset qualità,Preajuste de calidad,Qualitätsvorgabe,Předvolba kvality,Ustawienie jakości,Профиль качества
STR_DISP_MAIN_OPT_GRAPHICS_QUALITY_PRESET_DESC,Sets the four quality tiers below to a known bundle. Touching any tier row drops the preset to Custom.,Définit les quatre niveaux de qualité ci-dessous sur un préréglage connu. Modifier une ligne passe le préréglage sur Personnalisé.,Imposta i quattro livelli di qualità qui sotto su un profilo noto. Modificare una riga imposta il preset su Personalizzato.,Establece los cuatro niveles de calidad siguientes en un perfil conocido. Tocar cualquier fila cambia el preajuste a Personalizado.,"Setzt die vier untenstehenden Qualitätsstufen auf ein bekanntes Profil. Wird eine Zeile geändert, wechselt die Vorgabe zu Benutzerdefiniert.",Nastaví čtyři níže uvedené úrovně kvality na známý profil. Změna kterékoliv z nich přepne předvolbu na Vlastní.,Ustawia cztery poniższe poziomy jakości na znany profil. Zmiana dowolnego wiersza przełącza ustawienie na Własne.,"Устанавливает четыре уровня качества ниже на известный профиль. Изменение любой строки переводит профиль в режим «Свои настройки»."
STR_DISP_MAIN_OPT_GRAPHICS_TERRAIN_DETAIL,Terrain Detail,Détail du terrain,Dettaglio terreno,Detalle del terreno,Geländedetail,Detail terénu,Szczegóły terenu,Детализация ландшафта
STR_DISP_MAIN_OPT_GRAPHICS_TERRAIN_DETAIL_DESC,"Terrain mesh density. Lower means a coarser ground silhouette but cheaper rendering.","Densité du maillage du terrain. Plus bas donne un relief plus grossier mais coûte moins à rendre.","Densità della mesh del terreno. Un valore più basso dà un profilo del suolo più grossolano ma costa meno da renderizzare.","Densidad de la malla del terreno. Un valor más bajo da un contorno del suelo más basto pero abarata el renderizado.","Dichte des Geländenetzes. Niedriger bedeutet gröbere Bodensilhouetten, ist aber günstiger zu rendern.","Hustota sítě terénu. Nižší hodnota znamená hrubší obrys země, ale levnější vykreslování.","Gęstość siatki terenu. Niższa wartość daje bardziej zgrubny zarys gruntu, ale tańsze renderowanie.","Плотность сетки ландшафта. Меньшее значение делает силуэт земли грубее, но удешевляет рендеринг."
STR_DISP_MAIN_OPT_GRAPHICS_OBJECT_LOD,Object LOD,LOD des objets,LOD oggetti,LOD de objetos,Objekt-LOD,LOD objektů,LOD obiektów,LOD объектов
STR_DISP_MAIN_OPT_GRAPHICS_OBJECT_LOD_DESC,Bias for entity LOD selection. Higher means finer geometry at the same distance.,Biais de sélection du LOD des objets. Plus haut donne une géométrie plus fine à distance égale.,Bias per la selezione del LOD degli oggetti. Un valore più alto mantiene geometrie più fini alla stessa distanza.,Ajuste de la selección de LOD de entidades. Un valor mayor mantiene geometría más detallada a la misma distancia.,Verschiebung der Objekt-LOD-Auswahl. Höher bedeutet feinere Geometrie bei gleicher Entfernung.,Posun výběru LOD objektů. Vyšší hodnota znamená jemnější geometrii na stejné vzdálenosti.,Przesunięcie wyboru LOD obiektów. Wyższa wartość oznacza dokładniejszą geometrię przy tej samej odległości.,Смещение выбора LOD объектов. Большее значение даёт более детальную геометрию на той же дистанции.
STR_DISP_MAIN_OPT_GRAPHICS_SHADOW_QUALITY,Shadow Quality,Qualité des ombres,Qualità ombre,Calidad de sombras,Schattenqualität,Kvalita stínů,Jakość cieni,Качество теней
STR_DISP_MAIN_OPT_GRAPHICS_SHADOW_QUALITY_DESC,Whether dynamic objects and vehicles cast shadows.,Définit si les objets dynamiques et les véhicules projettent des ombres.,"Stabilisce se oggetti dinamici e veicoli proiettano ombre.","Determina si los objetos dinámicos y los vehículos proyectan sombras.","Legt fest, ob dynamische Objekte und Fahrzeuge Schatten werfen.","Určuje, zda dynamické objekty a vozidla vrhají stíny.","Określa, czy dynamiczne obiekty i pojazdy rzucają cienie.","Определяет, отбрасывают ли динамические объекты и техника тени."
STR_DISP_MAIN_OPT_GRAPHICS_PARTICLES,Particles & Volumetrics,Particules et volumétrie,Particelle e volumetria,Partículas y volumétricos,Partikel und Volumetrik,Částice a volumetrika,Cząsteczki i efekty objętościowe,Частицы и объёмные эффекты
STR_DISP_MAIN_OPT_GRAPHICS_PARTICLES_DESC,Cloudlets smoke dust and muzzle flashes.,"Nuages de particules, fumée, poussière et flashes de bouche.","Nuvolette, fumo, polvere e bagliori degli spari.","Nubes de partículas, humo, polvo y fogonazos.","Wolkenpartikel, Rauch, Staub und Mündungsfeuer.","Oblačnost, kouř, prach a záblesky výstřelů.","Obłoki cząsteczek, dym, kurz i błyski wystrzałów.","Облака частиц, дым, пыль и вспышки выстрелов."
STR_DISP_MAIN_OPT_GRAPHICS_VSYNC,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync
STR_DISP_MAIN_OPT_GRAPHICS_VSYNC_DESC,Synchronise frame presentation to the monitor refresh. Adaptive falls back to On when the GPU cannot keep up.,Synchronise l'affichage des images sur le rafraîchissement du moniteur. Adaptatif repasse sur Activé si le GPU ne suit plus.,Sincronizza la presentazione dei fotogrammi con la frequenza del monitor. Adattiva torna su Attivo quando la GPU non riesce a stare al passo.,Sincroniza la presentación de fotogramas con la frecuencia del monitor. Adaptativo vuelve a Activado cuando la GPU no puede seguir el ritmo.,"Synchronisiert die Bildausgabe mit der Bildwiederholrate des Monitors. Adaptiv fällt auf Ein zurück, wenn die GPU nicht nachkommt.","Synchronizuje vykreslování snímků s obnovovací frekvencí monitoru. Adaptivní režim se při nestíhání GPU vrací na Zapnuto.","Synchronizuje prezentację klatek z częstotliwością monitora. Tryb adaptacyjny wraca do Włączone, gdy GPU nie nadąża.","Синхронизирует вывод кадров с частотой монитора. Адаптивный режим возвращается к «Вкл.», когда GPU не успевает."
STR_DISP_MAIN_OPT_GRAPHICS_FPS_CAP,FPS Cap,Limite FPS,Limite FPS,Límite de FPS,FPS-Limit,Limit FPS,Limit FPS,Ограничение FPS
STR_DISP_MAIN_OPT_GRAPHICS_FPS_CAP_DESC,Soft frame-rate cap via sleep-to-target. Unlimited removes the cap.,Limite logicielle de fréquence via attente vers la cible. Illimité supprime la limite.,Limite morbido del frame rate tramite attesa verso il target. Illimitato rimuove il limite.,Límite suave de fotogramas mediante espera al objetivo. Sin límite quita el tope.,Weiches Framerate-Limit per Schlaf bis zum Ziel. Unbegrenzt entfernt das Limit.,Měkký limit snímkové frekvence pomocí čekání na cíl. Bez omezení limit vypne.,Miękki limit liczby klatek przez oczekiwanie do celu. Bez limitu wyłącza ograniczenie.,Мягкое ограничение частоты кадров через ожидание целевого значения. Без ограничений снимает лимит.
STR_DISP_MAIN_OPT_GRAPHICS_BRIGHTNESS,Brightness,Luminosité,Luminosità,Brillo,Helligkeit,Jas,Jas,Яркость
